"node_id","name"
353,"MFALPHA2"
354,"MID2"
355,"MIG1"
356,"MIG2"
357,"MOT3"
358,"MPT5"
359,"MSN1"
360,"MSN2"
361,"MSN4"
362,"MTC2"
363,"MTH1"
364,"MUC1"
365,"MUG1"
366,"NDT80"
367,"NRG1"
368,"NUF1"
369,"NUP116"
370,"OAF1"
371,"OAF1_PIP2"
372,"ODC2"
373,"OLE1"
374,"OPI3"
375,"OYE3"
376,"PAU3"
377,"PAU4"
378,"PAU5"
379,"PCL1"
380,"PCL10"
381,"PCL2"
382,"PCL9"
383,"PDC1"
384,"PDR1"
385,"PDR10"
386,"PDR11"
387,"PDR15"
388,"PDR3"
389,"PDR5"
390,"PEP1"
391,"PET18"
392,"PET9"
393,"PEX1"
394,"PEX11"
395,"PEX5"
396,"PGI1"
397,"PGK1"
398,"PGM1"
399,"PGM2"
400,"PGS1"
401,"PGU1"
402,"PHD1"
403,"PHO11"
404,"PHO12"
405,"PHO2"
406,"PHO23"
407,"PHO3"
408,"PHO4"
409,"PHO5"
410,"PHO8"
411,"PHO81"
412,"PHO84"
413,"PHR1"
414,"PMA1"
415,"PMC1"
416,"PMS1"
417,"PNC1"
418,"POL1"
419,"POL12"
420,"POL2"
421,"POP2"
422,"POT1"
423,"POX1"
424,"PPR1"
425,"PRB1"
426,"PRE6"
427,"PRI1"
428,"PRI2"
429,"PRM1"
430,"PRM3"
431,"PRM5"
432,"PRO1"
433,"PSD1"
434,"PST1"
435,"PST2"
436,"PTP1"
437,"PTP2"
438,"PTR2"
439,"PUT1"
440,"PUT2"
441,"PUT4"
442,"PXA1"
443,"PXA2"
444,"PYC1"
445,"QCR2"
446,"QCR8"
447,"QDR1"
448,"RAD27"
449,"RAD5"
450,"RAD51"
451,"RAD53"
452,"RAD54"
453,"RAP1"
454,"RAS2"
455,"RCS1"
456,"REB1"
457,"REC102"
458,"REC114"
459,"RED1"
460,"REG2"
461,"RFA1"
462,"RFA2"
463,"RFA3"
464,"RFX1"
465,"RGT1"
466,"RIM101"
467,"RIM11"
468,"RIM4"
469,"RME1"
470,"RNR1"
471,"RNR3"
472,"ROX1"
473,"RPH1"
474,"RPL19A"
475,"RPL19B"
476,"RPL24A"
477,"RPL40A"
478,"RPL4A"
479,"RPL4B"
480,"RPM2"
481,"RPN1"
482,"RPN11"
483,"RPN4"
484,"RPP2B"
485,"RPS13"
486,"RPS14A"
487,"RPS14B"
488,"RPS6A"
489,"RPT1"
490,"RS5"
491,"RTA1"
492,"RTG1"
493,"RTG1_RTG3"
494,"RTG2"
495,"RTG3"
496,"RTS2"
497,"SAG1"
498,"SAM2"
499,"SAN1"
500,"SCH9"
501,"SDH1"
502,"SDH2"
503,"SDH3"
504,"SDH4"
505,"SDS3"
506,"SER1"
507,"SER3"
508,"SFP1"
509,"SGA1"
510,"SHM2"
511,"SIC1"
512,"SIN3"
513,"SIP4"
514,"SKI8"
515,"SKN7"
516,"SKO1"
517,"SLZ1"
518,"SMF2"
519,"SMK1"
520,"SNF2"
521,"SNF5"
522,"SNF6"
523,"SNQ2"
524,"SOD1"
525,"SOD2"
526,"SPC25"
527,"SPC42"
528,"SPL2"
529,"SPO11"
530,"SPO12"
531,"SPO13"
532,"SPO16"
533,"SPR3"
534,"SPS1"
535,"SPS100"
536,"SPS19"
537,"SPS2"
538,"SPS4"
539,"SPT16"
540,"SPT21"
541,"SPT4"
542,"SPT5"
543,"SPT6"
544,"SRB7"
545,"SRD1"
546,"SRL1"
547,"SSA1"
548,"SSA3"
549,"SSA4"
550,"SSE1"
551,"SSN6"
552,"SST2"
553,"SSU1"
554,"STA1"
555,"STA2"
556,"STE12"
557,"STE2"
558,"STE3"
559,"STE4"
560,"STE5"
561,"STE6"
562,"STP1"
563,"SUC1"
564,"SUC2"
565,"SUC4"
566,"SUM1"
567,"SUR4"
568,"SUT1"
569,"SWI1"
570,"SWI3"
571,"SWI4"
572,"SWI4_SWI6"
573,"SWI5"
574,"SWI6"
575,"TAF90"
576,"TAL1"
577,"TDH1"
578,"TEC1"
579,"TEF1"
580,"TEF2"
581,"TES1"
582,"THI2"
583,"THI20"
584,"THI21"
585,"THI22"
586,"THI6"
587,"THI80"
588,"THR1"
589,"TIS11"
590,"TKL2"
591,"TOP1"
592,"TOP2"
593,"TOS11"
594,"TPI1"
595,"TPS1"
596,"TPS2"
597,"TRP1"
598,"TRP2"
599,"TRP3"
600,"TRP4"
601,"TRP5"
602,"TRR1"
603,"TRX2"
604,"TSA1"
605,"TSL1"
606,"TTR1"
607,"TUB2"
608,"TUB4"
609,"TUP1"
610,"UBA1"
611,"UBC11"
612,"UBI4"
613,"UGA1"
614,"UGA2"
615,"UGA3"
616,"UGA4"
617,"UME6"
618,"UNG1"
619,"URA1"
620,"URA10"
621,"URA3"
622,"URA4"
623,"WSC2"
624,"XBP1"
625,"YAP1"
626,"YAP6"
627,"YBR025C"
628,"YBR026C"
629,"YBR070C"
630,"YBR101C"
631,"YBR159W"
632,"YCF1"
633,"YDL222C"
634,"YDR453C"
635,"YDR516C"
636,"YEL033W"
637,"YEL070W"
